ID,Work Item Type,Title,Test Step,Step Action,Step Expected,Area Path,Assigned To,State
,Test Case,Verify cookies consent popup is displayed below the login form on page load,,,,Creatio CRM,Bharath Tech Academy <bharathtechacademy32@outlook.com>,Design
,,,1,"Launch the Browser

Browser = Chrome",Chrome Browser should be launched successfully.,,,
,,,2,"Enter URL and Launch the Application

https://accounts.creatio.com/login/alm",Application should be launched successfully.,,,
,,,3,Observe the lower area of the login page below the login form,Cookies consent popup should be displayed below the login form with all required consent content and actions.,,,
,Test Case,"Verify whether the cookies consent popup header is ""This website uses cookies""",,,,Creatio CRM,Bharath Tech Academy <bharathtechacademy32@outlook.com>,Design
,,,1,"Launch the Browser

Browser = Chrome",Chrome Browser should be launched successfully.,,,
,,,2,"Enter URL and Launch the Application

https://accounts.creatio.com/login/alm",Application should be launched successfully.,,,
,,,3,Locate the cookies consent popup header text,"Cookies consent popup header should display exactly ""This website uses cookies"".",,,
,Test Case,Verify cookies consent body message content is displayed as per acceptance criteria,,,,Creatio CRM,Bharath Tech Academy <bharathtechacademy32@outlook.com>,Design
,,,1,"Launch the Browser

Browser = Chrome",Chrome Browser should be launched successfully.,,,
,,,2,"Enter URL and Launch the Application

https://accounts.creatio.com/login/alm",Application should be launched successfully.,,,
,,,3,Locate the cookies consent popup body message,Cookies consent popup body message should match the acceptance criteria text and remain readable.,,,
,Test Case,Verify Necessary cookie switch is displayed and disabled by default,,,,Creatio CRM,Bharath Tech Academy <bharathtechacademy32@outlook.com>,Design
,,,1,"Launch the Browser

Browser = Chrome",Chrome Browser should be launched successfully.,,,
,,,2,"Enter URL and Launch the Application

https://accounts.creatio.com/login/alm",Application should be launched successfully.,,,
,,,3,Verify the Necessary switch in the cookies consent popup,"Necessary switch should be visible, labeled ""Necessary"", and disabled by default.",,,
,Test Case,"Verify Preferences, Statistics, and Marketing cookie switches are displayed and enabled for user selection",,,,Creatio CRM,Bharath Tech Academy <bharathtechacademy32@outlook.com>,Design
,,,1,"Launch the Browser

Browser = Chrome",Chrome Browser should be launched successfully.,,,
,,,2,"Enter URL and Launch the Application

https://accounts.creatio.com/login/alm",Application should be launched successfully.,,,
,,,3,"Locate Preferences, Statistics, and Marketing switches in the cookies consent popup","Preferences, Statistics, and Marketing switches should be displayed and available for user selection.",,,
,Test Case,"Verify ""Show details"" hyperlink is displayed on the cookies consent popup",,,,Creatio CRM,Bharath Tech Academy <bharathtechacademy32@outlook.com>,Design
,,,1,"Launch the Browser

Browser = Chrome",Chrome Browser should be launched successfully.,,,
,,,2,"Enter URL and Launch the Application

https://accounts.creatio.com/login/alm",Application should be launched successfully.,,,
,,,3,Check the cookies consent popup controls area,Show details hyperlink should be displayed on the cookies consent popup.,,,
,Test Case,"Verify clicking ""Show details"" expands the cookies consent details section",,,,Creatio CRM,Bharath Tech Academy <bharathtechacademy32@outlook.com>,Design
,,,1,"Launch the Browser

Browser = Chrome",Chrome Browser should be launched successfully.,,,
,,,2,"Enter URL and Launch the Application

https://accounts.creatio.com/login/alm",Application should be launched successfully.,,,
,,,3,Click the Show details hyperlink,Cookies consent details section should expand and reveal additional consent information.,,,
